 3.3960000000000000E+03, 0.4282837285418775E+05, 0.2380000000000000E+04,  120,  120,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    2,    0,-8.7502113235452894E-04, 0.0000000000000000E+00, 1.2500000000000000E-11, 0.0000000000000000E+00             
    2,    1, 5.9031495993080755E-10,-4.9433617424482412E-11, 5.2099999999999998E-12, 5.2300000000000001E-12             
    2,    2,-8.4635903869414677E-05, 4.8934625860229178E-05, 2.4100000000000000E-12, 2.4200000000000002E-12             
    3,    0,-1.1896034897013901E-05, 0.0000000000000000E+00, 8.4400000000000004E-12, 0.0000000000000000E+00             
    3,    1, 3.8042981149542270E-06, 2.5177321691130050E-05, 5.2499999999999996E-12, 5.3099999999999998E-12             
    3,    2,-1.5948009123274680E-05, 8.3615176257684048E-06, 4.4399999999999997E-12, 4.4399999999999997E-12             
    3,    3, 3.5054185729761330E-05, 2.5574570602731639E-05, 2.8400000000000000E-12, 2.8400000000000000E-12             
    4,    0, 5.1294072971513378E-06, 0.0000000000000000E+00, 8.5400000000000004E-12, 0.0000000000000000E+00             
    4,    1, 4.2162332636530840E-06, 3.7633848048506309E-06, 6.9200000000000004E-12, 7.0299999999999997E-12             
    4,    2,-9.5253939307705686E-07,-8.9808127716497847E-06, 5.6599999999999997E-12, 5.6800000000000000E-12             
    4,    3, 6.4568895211491409E-06,-1.9319620750365070E-07, 4.0700000000000002E-12, 4.0700000000000002E-12             
    4,    4, 3.0971854144749560E-07,-1.2873046768984531E-05, 2.3499999999999999E-12, 2.3499999999999999E-12             
    5,    0,-1.7266823981571990E-06, 0.0000000000000000E+00, 8.8099999999999998E-12, 0.0000000000000000E+00             
    5,    1, 4.8379878369827899E-07, 2.1232209244940802E-06, 7.5999999999999999E-12, 7.7200000000000002E-12             
    5,    2,-4.2981480591641181E-06,-1.1658896567163210E-06, 6.6500000000000001E-12, 6.6900000000000000E-12             
    5,    3, 3.3126559407026099E-06, 2.7179189049233091E-07, 5.3300000000000001E-12, 5.3199999999999999E-12             
    5,    4,-4.6403747687929232E-06,-3.3821238271891572E-06, 3.7500000000000000E-12, 3.7500000000000000E-12             
    5,    5,-4.4498214960314446E-06, 3.7798307730153592E-06, 2.3600000000000000E-12, 2.3499999999999999E-12             
    6,    0, 1.3464881434280170E-06, 0.0000000000000000E+00, 8.9500000000000004E-12, 0.0000000000000000E+00             
    6,    1, 1.8023672211822111E-06,-1.5184590662427570E-06, 8.3400000000000004E-12, 8.4699999999999993E-12             
    6,    2, 8.6161155978954476E-07, 1.4691273955099200E-06, 7.5699999999999994E-12, 7.6400000000000006E-12             
    6,    3, 9.5564993010365086E-07, 3.3303189026567732E-07, 6.4900000000000000E-12, 6.4900000000000000E-12             
    6,    4, 1.0084963294959201E-06, 2.6388004137546769E-06, 5.1900000000000003E-12, 5.1800000000000001E-12             
    6,    5, 1.6576787110657391E-06, 1.6229010235095570E-06, 3.8100000000000001E-12, 3.8000000000000000E-12             
    6,    6, 2.7620818369911369E-06, 8.2183820052706910E-07, 2.3199999999999998E-12, 2.3199999999999998E-12             
    7,    0, 1.0603021409433740E-06, 0.0000000000000000E+00, 9.5800000000000008E-12, 0.0000000000000000E+00             
    7,    1, 1.3749855897294971E-06,-2.2730188627439999E-07, 9.1099999999999998E-12, 9.2400000000000002E-12             
    7,    2, 2.8140841570544548E-06,-6.2956078881135288E-07, 8.4699999999999993E-12, 8.5500000000000005E-12             
    7,    3, 8.8052953846636107E-07,-3.9688707102840659E-07, 7.5599999999999993E-12, 7.5500000000000007E-12             
    7,    4, 2.4690586080737160E-06,-4.2220766311511110E-07, 6.4199999999999997E-12, 6.4000000000000002E-12             
    7,    5,-1.9148963747009721E-07,-1.3585572395137130E-06, 5.1599999999999998E-12, 5.1599999999999998E-12             
    7,    6,-5.5927140594987420E-07,-1.9014576322885320E-06, 3.6199999999999999E-12, 3.6100000000000002E-12             
    7,    7, 4.4075204523662589E-07,-1.7756034962087370E-06, 2.1300000000000000E-12, 2.1300000000000000E-12             
    8,    0, 1.4442441886492480E-07, 0.0000000000000000E+00, 1.0399999999999999E-11, 0.0000000000000000E+00             
    8,    1,-1.3256646017925930E-07, 7.5055361223717011E-07, 9.9400000000000001E-12, 1.0099999999999999E-11             
    8,    2, 1.8104253711858139E-06, 5.0715452934323882E-07, 9.3999999999999995E-12, 9.5099999999999997E-12             
    8,    3,-1.2069160247287600E-06,-1.3413940794192921E-06, 8.6300000000000002E-12, 8.6200000000000000E-12             
    8,    4, 1.5882082447787701E-06, 1.4829816560766031E-07, 7.6100000000000001E-12, 7.5899999999999998E-12             
    8,    5,-2.7914950812944860E-06,-1.6302049442013069E-06, 6.4699999999999997E-12, 6.4600000000000003E-12             
    8,    6,-9.1411431697030240E-07,-1.7901216522112291E-06, 5.1800000000000001E-12, 5.1700000000000000E-12             
    8,    7,-4.7398143101077909E-07, 1.6446212279220440E-06, 3.8299999999999996E-12, 3.8299999999999996E-12             
    8,    8,-3.1058380943148612E-07,-2.5036066441946729E-07, 2.1999999999999999E-12, 2.1999999999999999E-12             
    9,    0,-2.8733161238848450E-07, 0.0000000000000000E+00, 1.1200000000000001E-11, 0.0000000000000000E+00             
    9,    1, 4.2100929095543421E-07,-4.9025858021055649E-07, 1.0899999999999999E-11, 1.1000000000000001E-11             
    9,    2, 1.1387118074121270E-06, 3.8227460422801070E-07, 1.0399999999999999E-11, 1.0499999999999999E-11             
    9,    3,-9.9362446294029626E-07,-1.0076708551339870E-06, 9.7099999999999996E-12, 9.6999999999999995E-12             
